name,player_image,gender,battingstyle,bowlingstyle,country,country_image
Shaheen Afridi,https://cdn.sportmonks.com/images/cricket/players/15/271.png,m,left-hand-bat,left-arm-fast-medium,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Usman Shinwari,https://cdn.sportmonks.com/images/cricket/players/16/272.png,m,right-hand-bat,left-arm-fast-medium,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Shahid Afridi,https://cdn.sportmonks.com/images/cricket/players/27/347.png,m,right-hand-bat,legbreak,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Aiman Anwer,https://cdn.sportmonks.com/images/cricket/players/25/569.png,f,right-hand-bat,right-arm-fast-medium,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Aliya Riaz,https://cdn.sportmonks.com/images/cricket/players/26/570.png,f,right-hand-bat,right-arm-fast-medium,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Anam Amin,https://cdn.sportmonks.com/images/cricket/players/27/571.png,f,right-hand-bat,slow-left-arm-orthodox,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Ayesha Zafar,https://cdn.sportmonks.com/images/cricket/players/28/572.png,f,right-hand-bat,legbreak,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Diana Baig,https://cdn.sportmonks.com/images/cricket/players/29/573.png,f,right-hand-bat,right-arm-fast-medium,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Javeria Khan,https://cdn.sportmonks.com/images/cricket/players/30/574.png,f,right-hand-bat,right-arm-offbreak,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Muneeba Ali,https://cdn.sportmonks.com/images/cricket/players/31/575.png,f,left-hand-bat,,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Nahida Khan,https://cdn.sportmonks.com/images/cricket/players/0/576.png,f,right-hand-bat,right-arm-fast-medium,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Nashra Sandhu,https://cdn.sportmonks.com/images/cricket/players/1/577.png,f,right-hand-bat,slow-left-arm-orthodox,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Natalia Pervaiz,https://cdn.sportmonks.com/images/cricket/players/2/578.png,f,right-hand-bat,right-arm-fast-medium,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Nida Dar,https://cdn.sportmonks.com/images/cricket/players/3/579.png,f,right-hand-bat,right-arm-offbreak,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Omaima Sohail,https://cdn.sportmonks.com/images/cricket/players/4/580.png,f,right-hand-bat,right-arm-offbreak,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Sana Mir,https://cdn.sportmonks.com/images/cricket/players/5/581.png,f,right-hand-bat,right-arm-offbreak,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Sidra Ameen,https://cdn.sportmonks.com/images/cricket/players/6/582.png,f,right-hand-bat,right-arm-fast-medium,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Sidra Nawaz,https://cdn.sportmonks.com/images/cricket/players/7/583.png,f,right-hand-bat,,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Usman Qadir,https://cdn.sportmonks.com/images/cricket/players/14/622.png,m,left-hand-bat,legbreak,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Mohammad Irfan,https://cdn.sportmonks.com/images/cricket/players/13/749.png,m,right-hand-bat,left-arm-fast,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Sohail Tanvir,https://cdn.sportmonks.com/images/cricket/players/14/750.png,m,left-hand-bat,left-arm-fast-medium,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Hasan Khan,https://cdn.sportmonks.com/images/cricket/players/15/751.png,m,right-hand-bat,slow-left-arm-orthodox,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Agha Salman,https://cdn.sportmonks.com/images/cricket/players/16/752.png,m,right-hand-bat,right-arm-offbreak,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Umar Akmal,https://cdn.sportmonks.com/images/cricket/players/21/757.png,m,right-hand-bat,,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Kamran Akmal,https://cdn.sportmonks.com/images/cricket/players/1/769.png,m,right-hand-bat,,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Usama Mir,https://cdn.sportmonks.com/images/cricket/players/5/773.png,m,right-hand-bat,legbreak,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Mohammad Sami,https://cdn.sportmonks.com/images/cricket/players/9/777.png,m,right-hand-bat,right-arm-fast,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Imran Nazir,https://cdn.sportmonks.com/images/cricket/players/10/778.png,m,right-hand-bat,legbreak,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Sohail Khan,https://cdn.sportmonks.com/images/cricket/players/16/784.png,m,right-hand-bat,right-arm-fast-medium,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Mohammad Irfan Jr.,https://cdn.sportmonks.com/images/cricket/players/20/788.png,m,right-hand-bat,right-arm-fast-medium,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Aamer Yamin,https://cdn.sportmonks.com/images/cricket/players/23/791.png,m,right-hand-bat,right-arm-fast-medium,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Shan Masood,https://cdn.sportmonks.com/images/cricket/players/29/797.png,m,left-hand-bat,right-arm-fast-medium,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Imad Wasim,https://cdn.sportmonks.com/images/cricket/players/31/799.png,m,left-hand-bat,slow-left-arm-orthodox,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Waqas Maqsood,https://cdn.sportmonks.com/images/cricket/players/0/800.png,m,left-hand-bat,left-arm-fast-medium,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Yasir Ali,https://cdn.sportmonks.com/images/cricket/players/18/1010.png,m,right-hand-bat,right-arm-fast-medium,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Sharjeel Khan,https://cdn.sportmonks.com/images/cricket/players/1/1217.png,m,left-hand-bat,,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Misbah ul Haq,https://cdn.sportmonks.com/images/cricket/players/4/1220.png,m,right-hand-bat,legbreak,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Khalid Latif,https://cdn.sportmonks.com/images/cricket/players/7/1223.png,m,right-hand-bat,right-arm-offbreak,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Umar Siddiq,https://cdn.sportmonks.com/images/cricket/players/10/1226.png,m,left-hand-bat,,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Azhar Mahmood,https://cdn.sportmonks.com/images/cricket/players/13/1229.png,m,right-hand-bat,right-arm-fast-medium,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Ashar Zaidi,https://cdn.sportmonks.com/images/cricket/players/16/1232.png,m,left-hand-bat,slow-left-arm-orthodox,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Kamran Ghulam,https://cdn.sportmonks.com/images/cricket/players/19/1235.png,m,right-hand-bat,slow-left-arm-orthodox,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Saeed Ajmal,https://cdn.sportmonks.com/images/cricket/players/25/1241.png,m,right-hand-bat,right-arm-offbreak,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Amad Butt,https://cdn.sportmonks.com/images/cricket/players/28/1244.png,m,right-hand-bat,right-arm-fast,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Imran Khalid,https://cdn.sportmonks.com/images/cricket/placeholder.png,m,left-hand-bat,slow-left-arm-orthodox,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Shahzaib Hasan,https://cdn.sportmonks.com/images/cricket/players/2/1250.png,m,right-hand-bat,right-arm-offbreak,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Iftikhar Ahmed,https://cdn.sportmonks.com/images/cricket/players/5/1253.png,m,right-hand-bat,right-arm-offbreak,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Nauman Anwar,https://cdn.sportmonks.com/images/cricket/players/8/1256.png,m,right-hand-bat,right-arm-fast-medium,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Fawad Alam,https://cdn.sportmonks.com/images/cricket/players/11/1259.png,m,left-hand-bat,slow-left-arm-orthodox,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Bilawal Bhatti,https://cdn.sportmonks.com/images/cricket/players/17/1265.png,m,right-hand-bat,right-arm-fast-medium,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Saifullah Bangash,https://cdn.sportmonks.com/images/cricket/players/23/1271.png,m,right-hand-bat,,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Mukhtar Ahmed,https://cdn.sportmonks.com/images/cricket/players/26/1274.png,m,right-hand-bat,legbreak-googly,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Sohaib Maqsood,https://cdn.sportmonks.com/images/cricket/players/29/1277.png,m,right-hand-bat,right-arm-offbreak,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Naved Yasin,https://cdn.sportmonks.com/images/cricket/placeholder.png,m,left-hand-bat,slow-left-arm-orthodox,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Imran Butt,https://cdn.sportmonks.com/images/cricket/players/3/1283.png,m,right-hand-bat,,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Abdul Razzaq,https://cdn.sportmonks.com/images/cricket/players/6/1286.png,m,right-hand-bat,right-arm-fast-medium,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Hammad Azam,https://cdn.sportmonks.com/images/cricket/players/9/1289.png,m,right-hand-bat,right-arm-fast-medium,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Zohaib Khan,https://cdn.sportmonks.com/images/cricket/players/12/1292.png,m,right-hand-bat,slow-left-arm-orthodox,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Ehsan Adil,https://cdn.sportmonks.com/images/cricket/players/15/1295.png,m,right-hand-bat,right-arm-fast-medium,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
